categories (L),Venue
"[  { ""S"" : ""Date Night"" },  { ""S"" : ""Vibes"" },  { ""S"" : ""Drinks"" },  { ""S"" : ""After Work Drinks"" },  { ""S"" : ""Rooftop"" },  { ""S"" : ""After Work Drinks"" },  { ""S"" : ""Cocktail"" },  { ""S"" : ""Rooftop"" },  { ""S"" : ""Suss Date"" },  { ""S"" : ""First Date"" },  { ""S"" : ""Client Meeting"" }]",Jin Bo Law
"[  { ""S"" : ""Restaurants"" },  { ""S"" : ""Drinks"" },  { ""S"" : ""Cocktail"" },  { ""S"" : ""Outdoor Seating"" },  { ""S"" : ""Themed"" }]",Hemingways Lounge Bar
"[  { ""S"" : ""Vibes"" },  { ""S"" : ""Drinks"" },  { ""S"" : ""Rooftop"" },  { ""S"" : ""Outdoor Seating"" },  { ""S"" : ""After Work Drinks"" }]",The Rooftop at The Standard
"[  { ""S"" : ""Drinks"" },  { ""S"" : ""Date Night"" },  { ""S"" : ""Restaurants"" },  { ""S"" : ""Vegan"" },  { ""S"" : ""Romantic"" },  { ""S"" : ""Cocktail"" },  { ""S"" : ""Themed"" },  { ""S"" : ""Something Different"" },  { ""S"" : ""Rooftop"" },  { ""S"" : ""Outdoor Seating"" },  { ""S"" : ""Instagramable"" }]",Casa Madera
"[  { ""S"" : ""Restaurants"" },  { ""S"" : ""Drinks"" },  { ""S"" : ""Cocktail"" },  { ""S"" : ""Outdoor Seating"" },  { ""S"" : ""Themed"" }]",Hemingways Lounge Bar
"[  { ""S"" : ""Vibes"" },  { ""S"" : ""Restaurants"" },  { ""S"" : ""Drinks"" },  { ""S"" : ""Play Time"" },  { ""S"" : ""LGBTQ+"" },  { ""S"" : ""Catch Up With Friends"" },  { ""S"" : ""Something Different"" },  { ""S"" : ""Girls Night"" },  { ""S"" : ""Boys Night"" },  { ""S"" : ""Karaoke"" },  { ""S"" : ""Cocktail"" }]",Bunga Bunga Battersea
"[  { ""S"" : ""Restaurants"" },  { ""S"" : ""Drinks"" },  { ""S"" : ""Cocktail"" },  { ""S"" : ""Outdoor Seating"" },  { ""S"" : ""Themed"" }]",Hemingways Lounge Bar
"[  { ""S"" : ""Vibes"" },  { ""S"" : ""Drinks"" },  { ""S"" : ""Date Night"" },  { ""S"" : ""Outdoor Seating"" },  { ""S"" : ""Cocktail"" },  { ""S"" : ""Client Meeting"" },  { ""S"" : ""After Work Drinks"" },  { ""S"" : ""Catch Up With Friends"" },  { ""S"" : ""Rooftop"" },  { ""S"" : ""Work Spots"" }]",Soho House 40 Greek Street
"[  { ""S"" : ""Restaurants"" },  { ""S"" : ""Date Night"" },  { ""S"" : ""First Date"" },  { ""S"" : ""Romantic"" },  { ""S"" : ""Seal The Deal"" },  { ""S"" : ""Hangover Cure"" },  { ""S"" : ""Catch Up With Friends"" }]",Luca
"[  { ""S"" : ""Restaurants"" },  { ""S"" : ""Date Night"" },  { ""S"" : ""Vibes"" },  { ""S"" : ""Drinks"" },  { ""S"" : ""Experiences"" },  { ""S"" : ""Romantic"" },  { ""S"" : ""Rooftop"" },  { ""S"" : ""Rooftop"" },  { ""S"" : ""Seal The Deal"" },  { ""S"" : ""First Date"" },  { ""S"" : ""Food With A View"" }]",Sky Garden
