categories (L),Venue
"[  { ""S"" : ""Ping Verified"" },  { ""S"" : ""Vibes"" },  { ""S"" : ""Drinks"" },  { ""S"" : ""Afternoon Tea"" },  { ""S"" : ""Experiences"" },  { ""S"" : ""Themed"" }]",Mr Fogg's Tavern - Covent Garden
"[  { ""S"" : ""Vibes"" },  { ""S"" : ""Drinks"" },  { ""S"" : ""Date Night"" },  { ""S"" : ""Restaurants"" },  { ""S"" : ""First Date"" },  { ""S"" : ""Suss Date"" },  { ""S"" : ""Outdoor Seating"" },  { ""S"" : ""Chill"" },  { ""S"" : ""Catch Up With Friends"" }]",Ziggy Green
"[  { ""S"" : ""Vibes"" },  { ""S"" : ""Drinks"" },  { ""S"" : ""Restaurants"" },  { ""S"" : ""Outdoor Seating"" },  { ""S"" : ""After Work Drinks"" },  { ""S"" : ""Boozy Brunch"" },  { ""S"" : ""Brunch"" }]",Double Standard
"[  { ""S"" : ""Restaurants"" },  { ""S"" : ""Vibes"" },  { ""S"" : ""Drinks"" },  { ""S"" : ""Rooftop"" },  { ""S"" : ""Rooftop"" },  { ""S"" : ""Boozy Brunch"" },  { ""S"" : ""Burger Lovers"" },  { ""S"" : ""Catch Up With Friends"" }]",Pergola Olympia
"[  { ""S"" : ""Restaurants"" },  { ""S"" : ""Catch Up With Friends"" },  { ""S"" : ""Girls Night"" },  { ""S"" : ""Hangover Cure"" }]",The Ivy Chelsea Garden
[{'S': 'Vibes'}],LHR
[{'S': 'Vibes'}],LHR
[{'S': 'Disco'}],My Hills
[{'S': 'Disco'}],My Hills
[{'S': 'Disco'}],My Hills
[{'S': 'Disco'}],My Hills
[{'S': 'Disco'}],My Hills
[{'S': 'Disco'}],My Hills
[{'S': 'Disco'}],My Hills
"[{'S': 'Instagrammable'}, {'S': 'Restaurants'}, {'S': 'Vegan'}]",My Hills
[{'S': 'Disco123'}],My Hills
[{'S': 'Disco'}],My Hills
[{'S': 'Discoooo'}],My Hills
[{'S': 'Vibes1'}],LHR
"[{'S': 'Disco'}, {'S': 'Rights'}]",LHR
"[{'S': 'Disco1'}, {'S': 'Rights'}]",LHR
[{'S': 'Working'}],Paris
